method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
offline_opd,2,linear,0.3,0.3,0.692,0.3050399999999999,3.948,0.025160418777440054,,
rang_kd,2,linear,0.3,0.3,1.0,0.9272000000000001,3.64,,,
online_opd,2,linear,0.3,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,tabular,0.3,0.3,0.6953333333333334,0.3122666666666666,3.92,,,
offline_opd,2,tabular,0.3,0.3,0.7026666666666667,0.32755999999999996,3.8886666666666665,0.12394993999657124,,
rang_kd,2,tabular,0.3,0.3,0.8986666666666666,0.72036,3.8486666666666665,,,
online_opd,2,tabular,0.3,0.3,1.0,0.9272000000000001,3.64,,,
sft,3,linear,0.0,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
offline_opd,3,linear,0.0,0.3,0.826,0.5968266666666665,2.7586666666666666,0.09255679072015466,,
rang_kd,3,linear,0.0,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
online_opd,3,linear,0.0,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,tabular,0.0,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,,,
offline_opd,3,tabular,0.0,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,0.28680027643400136,,
rang_kd,3,tabular,0.0,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,,,
online_opd,3,tabular,0.0,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,linear,0.05,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
offline_opd,3,linear,0.05,0.3,0.5453333333333333,0.03549333333333328,2.7586666666666666,0.0,,
rang_kd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
online_opd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,tabular,0.05,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,,,
offline_opd,3,tabular,0.05,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,0.1465100207325501,,
rang_kd,3,tabular,0.05,0.3,0.716,0.3547999999999999,3.86,,,
online_opd,3,tabular,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,linear,0.15,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
offline_opd,3,linear,0.15,0.3,0.464,-0.1593333333333334,4.366666666666666,0.20244274809160306,,
rang_kd,3,linear,0.15,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
online_opd,3,linear,0.15,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,tabular,0.15,0.3,0.7173333333333334,0.3574933333333333,3.8586666666666667,,,
offline_opd,3,tabular,0.15,0.3,0.7146666666666667,0.3518266666666666,3.8753333333333333,0.11388267675898847,,
rang_kd,3,tabular,0.15,0.3,0.834,0.5936266666666665,3.7186666666666666,,,
online_opd,3,tabular,0.15,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,linear,0.3,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
offline_opd,3,linear,0.3,0.3,0.7293333333333333,0.3821999999999999,3.8233333333333333,0.027375762859633827,,
rang_kd,3,linear,0.3,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
